او PR SBJ  Arg0 null role
مجموعا ADV ADVRB  ArgM_ADV null junk
11 NUM NPREMOD null null junk
برادر N OBJ  Arg1 نفر§n-13075 role
داشت V PREDEP null null junk
و CONJ VCONJ null null junk
از PREP ADVRB  ArgM_ADV null junk
ميان N ADVRB  ArgM_ADV null no
آن‌ها PR MOZ null نفر§n-13075 role
فقط ADV ADVRB  ArgM_ADV null junk
بنيامين N SBJ  Arg1 null role
برادر N MOS  Arg2 نفر§n-13075 role
پدري ADJ NPOSTMOD null نفر§n-13075 role_state
و CONJ AJCONJ null null junk
مادري ADJ AJCONJ null نفر§n-13075 role_state
او PR MOZ null null junk
بود V ROOT null null junk
. PUNC PUNC null null junk

يوسف N SBJ  Arg1 نفر§n-13075 role
از PREP AJPP null null junk
همه ADJ NPREMOD null null junk
برادران N AJPP null نفر§n-13075 role
جز PREP POSDEP null null junk
بنيامين N POSDEP null نفر§n-13075 role
کوچکتر ADJ MOS  Arg2 مشخصه§n-12756 role_state
بود V ROOT null null junk
. PUNC PUNC null null junk

او PR SBJ  Arg0 null junk
حدود PREP ADVC  Arg2 مشخصه§n-12756 no
110 NUM NPREMOD null null junk
سال N POSDEP null دوره_زماني§n-12603 time
زندگي N NVE null رخداد§n-13136 role_action
کرد V ROOT null null junk
. PUNC PUNC null null junk

يوسف N SBJ  Arg0 نفر§n-13075 role
يوسف N SBJ  Arg0 نفر§n-13075 role
9 NUM NPREMOD null null junk
سال N ADVC  Arg1 دوره_زماني§n-12603 no
بيشتر ADV ADVRB  ArgM_EXT null junk
نداشت V ROOT null null junk
که SUBR NCL null null junk
يک NUM NPREMOD null null junk
شب N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
، PUNC PUNC null null junk
رويايي N OBJ  Arg1 خصوصيت_رواني§n-12725 no
ديد V PRD null رخداد§n-13136 role_action
. PUNC PUNC null null junk

صبح N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
نزد PREP VPP  Arg4 جا§n-12733 location
پدر N POSDEP null نفر§n-13075 role
آمده V PREDEP null null junk
و CONJ VCONJ null null junk
گفت V ROOT null null junk
در PREP ADVRB  ArgM_LOC null junk
عالم N ADVRB  ArgM_LOC null no
خواب N MOZ null خصوصيت_رواني§n-12725 no
ديدم V VCL null رخداد§n-13136 role_action
که SUBR VCL  Arg1 null junk
11 NUM NPREMOD null null junk
ستاره N SBJ  Arg0 شيء§n-12703 static_object
و CONJ NCONJ null null junk
خورشيد N NCONJ null null static_object
و CONJ NCONJ null null junk
ماه N NCONJ null null static_object
دربرابر PREP NPP  Arg3 null no
م PR POSDEP null نفر§n-13075 role
سجده N NVE null رخداد§n-13136 static_object_state
مي‌کنند V PRD null رخداد§n-13136 role_action
. PUNC PUNC null null junk

حضرت N SBJ  Arg0 null role
حضرت N SBJ  Arg0 null role
يعقوب N MOZ null نفر§n-13075 role
که SUBR NCL null null junk
تعبير N OBJ  Arg1 خصوصيت_رواني§n-12725 no
خواب N MOZ null خصوصيت_رواني§n-12725 no
را POSTP OBJ  Arg1 null junk
مي‌دانست V PRD null رخداد§n-13136 no
از PREP VPP  Arg3 null junk
او PR POSDEP null null junk
خواست V ROOT null null junk
تا SUBR VCL  Arg1 null junk
راز N OBJ  Arg1 خصوصيت_رواني§n-12725 no
خود PR MOZ null null junk
را POSTP OBJ  Arg1 null junk
براي PREP ADVRB  ArgM_GOL null junk
برادران N POSDEP null نفر§n-13075 role
ش PR MOZ null نفر§n-13075 role
آشکار ADJ MOS  Arg2 null no
نکند V VCL null رخداد§n-13136 role_action

سپس SUBR ROOT  ArgM_ADV null junk
براي PREP ADVRB  ArgM_GOL null junk
ش PR POSDEP null نفر§n-13075 role
روشن ADJ MOS  Arg2 مشخصه§n-12756 role_intent
ساخت V PRD null رخداد§n-13136 role_action
که SUBR VCL  Arg1 null junk
در PREP ADVRB  ArgM_TMP null junk
آينده N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
شخصيتي N MOS  Arg2 مشخصه§n-12756 role_state
برجسته ADJ NPOSTMOD null مشخصه§n-12756 role_state
خواهدشد V PRD null رخداد§n-13136 no
که SUBR NCL null null junk
همه N SBJ  Arg0 null junk
فرمان N OBJ  Arg3 رخداد§n-13136 no
ش PR MOZ null نفر§n-13075 role
را POSTP OBJ  Arg3 null junk
گردن N NVE null شيء§n-12703 no
مي‌نهند V PRD null رخداد§n-13136 role_action

و CONJ VCONJ null null junk
خداوند N SBJ  Arg0 خصوصيت_رواني§n-12725 no
خداوند N SBJ  Arg0 خصوصيت_رواني§n-12725 no
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
به PREP VPP  Arg3 null junk
پيامبري N VPP  Arg3 null role_state
برمي‌گزيند V VCONJ null رخداد§n-13136 no
و CONJ VCONJ null null junk
تعبير N OBJ  Arg1 خصوصيت_رواني§n-12725 no
خواب N MOZ null خصوصيت_رواني§n-12725 no
را POSTP OBJ  Arg1 null junk
به PREP VPP  Arg3 null junk
او PR POSDEP null null junk
مي‌آموزد V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

همچنين ADV ADVRB  ArgM_ADV null junk
خواب N SBJ  Arg1 خصوصيت_رواني§n-12725 no
ديدن N MOZ null رخداد§n-13136 role_action
يوسف N MOZ null نفر§n-13075 role
و CONJ NCONJ null null junk
الهامات N NCONJ null null no
ديگر PR MOZ null null junk
موجب N MOS  Arg2 مسبب§n-13036 no
شد V ROOT null null junk
که SUBR NCL null null junk
يعقوب N SBJ  Arg0 نفر§n-13075 role
امتياز N OBJ  Arg1 مشخصه§n-12756 role_state
و CONJ NCONJ null null junk
عظمت N NCONJ null null role_state
خاصي ADJ NPOSTMOD null مشخصه§n-12756 no
در PREP NPP  ArgM_LOC null junk
چهره N NPP  ArgM_LOC null no
يوسف N MOZ null نفر§n-13075 role
مشاهده N NVE null رخداد§n-13136 no
کند V PRD null null junk

و CONJ VCONJ null null junk
مي‌دانست V ROOT null رخداد§n-13136 no
که SUBR VCL  Arg1 null junk
آينده N OBJ  Arg1 اندازه§n-12768 time
درخشاني ADJ NPOSTMOD null مشخصه§n-12756 role_state
دارد V PRD null null junk
، PUNC PUNC null null junk

برادران N SBJ  Arg0 نفر§n-13075 role
اين ADJ NPREMOD null null junk
پيشنهاد N OBJ  Arg1 null no
را POSTP OBJ  Arg1 null junk
پذيرفتند V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

در PREP ADVRB  ArgM_TMP null junk
يکي‌از ADJ NPREMOD null null no
روزها N ADVRB  ArgM_TMP دوره_زماني§n-12603 time
نزد PREP VPP  Arg4 جا§n-12733 location
پدر N POSDEP null نفر§n-13075 role
شان PR MOZ null null junk
آمدند V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
از PREP VPP  Arg3 null junk
پدر N VPP  Arg3 نفر§n-13075 role
خواستند V PREDEP null null junk
تا SUBR VCL  Arg1 null junk
يوسف N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
همراه N ADVRB  ArgM_COM رخداد§n-13136 role_intent
خود PR MOZ null null junk
به PREP VPP  Arg4 null junk
صحرا N VPP  Arg4 جا§n-12733 location
ببرند V VCL null رخداد§n-13136 role_action
ولي CONJ VCONJ null null junk
يعقوب N SBJ  Arg0 نفر§n-13075 role
به PREP NPP  Arg3 null junk
آن‌ها PR NPP  Arg3 نفر§n-13075 role
پاسخ N NVE null رخداد§n-13136 no
مثبت ADJ NPOSTMOD null مشخصه§n-12756 role_intent
نمي‌داد V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

بعداز PREP ADVRB  ArgM_TMP null no
آن PR POSDEP null null junk
که SUBR NCL null null junk
احساس N NVE null خصوصيت_رواني§n-12725 no
کردند V PRD null null junk
پدر N SBJ  Arg0 نفر§n-13075 role
، PUNC PUNC null null junk
يوسف N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
از PREP VPP  Arg3 null junk
آن‌ها PR VPP  Arg3 نفر§n-13075 role
دور ADV ADVRB  Arg2 مشخصه§n-12756 role_intent
نگه N NVE null null no
مي‌دارد V VCL null رخداد§n-13136 role_action
، PUNC PUNC null null junk
به PREP VPP  Arg3 null junk
او PR POSDEP null null junk
گفتند V ROOT null null junk
چرا UNKNOWN ADVRB  ArgM_CAU null junk
درمورد PREP ADVRB  ArgM_ADV null no
يوسف N POSDEP null نفر§n-13075 role
به PREP NPP  Arg3 null junk
ما PR POSDEP null null junk
نمي‌کني V VCL null رخداد§n-13136 role_action
تا SUBR AJUCL  null null junk
او PR PREDEP  Arg0 null junk
را POSTP OBJ  Arg1 null junk
به PREP VPP  Arg4 null junk
دشت N VPP  Arg4 شيء§n-12703 location
ببريم V AJUCL null رخداد§n-13136 role_action
تا SUBR AJUCL  ArgM_CAU null junk
در PREP ADVRB  ArgM_LOC null junk
آنجا N POSDEP null null junk
بازي N NVE null رخداد§n-13136 role_intent
کند V PREDEP null null junk
و CONJ VCONJ null null junk
به PREP VPP  Arg3 null junk
شادماني N VPP  Arg3 null role_state
بپردازد V AJUCL null رخداد§n-13136 role_action
؟ PUNC PUNC null null junk

اگر SUBR AJUCL  ArgM_CND null junk
گرگ N SBJ  Arg0 جان_دار§n-10393 dynamic_object
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
بخورد V PRD null رخداد§n-13136 dynamic_object_action
ما PR SBJ  Arg1 null junk
از PREP MOS  Arg2 null junk
زيانکاران N MOS  Arg2 مشخصه§n-12756 role_state
خواهيم‌بود V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

وقتي N ADVRB  ArgM_TMP null junk
که SUBR NCL null null junk
آن‌ها PR SBJ  Arg0 نفر§n-13075 role
آن‌ها PR SBJ  Arg0 نفر§n-13075 role
از PREP NPP  Arg3 null junk
يعقوب N NPP  Arg3 نفر§n-13075 role
فاصله N NVE null مشخصه§n-12756 no
گرفتند V PRD null null junk
شان PR MOZ null null junk
آشکار ADJ MOS  Arg2 مشخصه§n-12756 no
شد V PREDEP null null junk
و CONJ VCONJ null null junk
شان PR MOZ null null junk
ظاهر N MOS  Arg2 خصوصيت_رواني§n-12725 no
گشت V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
به PREP VPP  Arg3 null junk
انتقام‌جويي N VPP  Arg3 مشخصه§n-12756 role_intent
پرداختند V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

وي PR SBJ  Arg0 null junk
دربرابر PREP ADVRB  ArgM_ADV null no
آزار N POSDEP null رخداد§n-13136 role_state
آن‌ها PR MOZ null نفر§n-13075 role
نمي‌توانست V ROOT null null role_action
کاري N NVE null رخداد§n-13136 no
بکند V VCL null null junk
، PUNC PUNC null null junk

يوسف N SBJ  Arg0 نفر§n-13075 role
در PREP ADVRB  ArgM_LOC null junk
درون N POSDEP null null junk
چاه N MOZ null null location
به PREP NPP  Arg3 null junk
خدا N NPP  Arg3 خصوصيت_رواني§n-12725 no
توکل N NVE null خصوصيت_رواني§n-12725 role_intent
کرد V ROOT null null junk
، PUNC PUNC null null junk

برادران N SBJ  Arg0 نفر§n-13075 role
برادران N SBJ  Arg0 نفر§n-13075 role
برادران N SBJ  Arg0 نفر§n-13075 role
پيراهن N OBJ  Arg1 شيء§n-12703 static_object
پيراهن N OBJ  Arg1 شيء§n-12703 static_object
يوسف N MOZ null نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
را POSTP OBJ  Arg1 null junk
که SUBR NCL null null junk
به PREP AJPP null null junk
خون N AJPP null هست§n-12706 static_object
بزغاله N MOZ null جانور§n-12239 dynamic_object
آلوده ADJ MOS  Arg2 مشخصه§n-12756 static_object_state
کرده‌بودند V PRD null null role_action
، PUNC PUNC null null junk
نزد PREP VPP  Arg3 جا§n-12733 location
پدر N POSDEP null نفر§n-13075 role
آورده V PREDEP null null junk
و CONJ VCONJ null null junk
گفتند V ROOT null null junk
که SUBR VCL  Arg1 null junk
گرگ N SBJ  Arg0 جانور§n-12239 dynamic_object
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
طعمه N MOS  Arg2 شيء§n-12703 no
خود PR MOZ null null junk
ساخت V PRD null رخداد§n-13136 dynamic_object_action
. PUNC PUNC null null junk

يوسف N SBJ  Arg1 نفر§n-13075 role
[ PUNC PUNC null null junk
سه NUM NPREMOD null null junk
روز N ADVRB  ArgM_TMP null time
و CONJ NCONJ null null junk
سه NUM NPREMOD null null junk
شب N NCONJ null دوره_زماني§n-12603 time
] PUNC PUNC null null junk
درميان PREP MOS  Arg2 null no
چاه N POSDEP null null location
بود V ROOT null null junk
تا PREP ADVRB null null junk
اين PR POSDEP null null junk
که SUBR NCL null null junk
کارواني N SBJ  Arg0 نفر§n-13075 role
کارواني N SBJ  Arg0 نفر§n-13075 role
که SUBR NCL null null junk
از PREP VPP  Arg3 null junk
مدين N VPP  Arg3 null no
به PREP VPP  Arg4 null junk
مصر N VPP  Arg4 گروه§n-12753 location
مي‌رفتند V PRD null رخداد§n-13136 role_action
براي PREP ADVRB  ArgM_CAU null junk
رفع N POSDEP null null role_intent
خستگي N MOZ null مشخصه§n-12756 role_state
و CONJ NCONJ null null junk
استفاده N POSDEP null null junk
از PREP NPP null null junk
آب N NPP null ماده§n-14032 static_object
، PUNC PUNC null null junk
کنار N ADVRB  Arg4 null junk
همان ADJ NPREMOD null null junk
چاهي N MOZ null null static_object
که SUBR NCL null null junk
يوسف N SBJ  Arg1 نفر§n-13075 role
در PREP MOS  Arg2 null junk
آن PR POSDEP null null junk
بود V PRD null null junk
آمدند V PRD null رخداد§n-13136 role_action

اما CONJ VCONJ null null junk
آن‌ها PR SBJ  Arg0 نفر§n-13075 role
آن‌ها PR SBJ  Arg0 نفر§n-13075 role
به‌جاي PREP ADVRB  ArgM_ADV null no
آب N POSDEP null ماده§n-14032 static_object
، PUNC PUNC null null junk
چشم N NVE null هست§n-12706 no
شان PR MOZ null null junk
به PREP VPP  Arg3 null junk
پسري N VPP  Arg3 نفر§n-13075 role
ماه‌چهره ADJ NPOSTMOD null null role_state
افتاد V VCONJ null رخداد§n-13136 role_action
و CONJ VCONJ null null junk
شدند V ROOT null null junk

و CONJ VCONJ null null junk
او PR PREDEP null null junk
را POSTP OBJ  Arg1 null junk
در PREP ADVRB  ArgM_LOC null junk
مصر N ADVRB  ArgM_LOC گروه§n-12753 location
به PREP VPP  Arg2 null junk
بهايي N VPP  Arg2 مشخصه§n-12756 no
اندک ADJ NPOSTMOD null مشخصه§n-12756 no
فروختند V ROOT null رخداد§n-13136 role_action
. PUNC PUNC null null junk

کسي N SBJ  Arg0 مسبب§n-13036 role
کسي N SBJ  Arg1 مسبب§n-13036 role
که SUBR NCL null null junk
يوسف N OBJ  Arg1 نفر§n-13075 role
را POSTP OBJ  Arg1 null junk
خريد V PRD null null role_action
وزير N MOS  Arg2 نفر§n-13075 role
پادشاه N MOZ null نفر§n-13075 role
مصر N MOZ null گروه§n-12753 location
بود V ROOT null null junk
. PUNC PUNC null null junk

عزيز N SBJ  Arg1 نفر§n-13075 role
عزيز N SBJ  Arg0 نفر§n-13075 role
مصر N MOZ null گروه§n-12753 location
و CONJ NCONJ null null junk
همسر N NCONJ null نفر§n-13075 role
ش PR MOZ null نفر§n-13075 role
از PREP AJPP null null junk
