newStory*************************************
newScene0*************************************

1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	
2	مجموعا	ADV	ADVRB	5	null	null	junk	ArgM_ADV		||| ROLE	
3	11	NUM	NPREMOD	4	null	null	junk		||| JUNK	
4	برادر	N	OBJ	5	برادر§n-14090	نفر§n-13075	role	Arg1		1||| NO	
5	داشت	V	PREDEP	6	null	null	junk		||| JUNK	
6	و	CONJ	VCONJ	17	null	null	junk		||| JUNK	
7	از	PREP	ADVRB	17	null	null	junk	ArgM_ADV		||| ROLE	
8	ميان	N	ADVRB	17	null	null	no	ArgM_ADV		||| ROLE	
9	آن‌ها	PR	MOZ	8	برادر§n-14090	نفر§n-13075	role		11||| JUNK	
10	فقط	ADV	ADVRB	17	null	null	junk	ArgM_ADV		||| JUNK	
11	بنيامين	N	SBJ	17	null	null	role	Arg1		||| NO	
12	برادر	N	MOS	17	برادر§n-14090	نفر§n-13075	role	Arg2		||| ROLE	
13	پدري	ADJ	NPOSTMOD	12	والد§n-13357	نفر§n-13075	role_state		12||| ROLE_INTENT	
14	و	CONJ	AJCONJ	13	null	null	junk		||| JUNK	
15	مادري	ADJ	AJCONJ	13	مامان§n-13374	نفر§n-13075	role_state		12||| JUNK	
16	او	PR	MOZ	12	يوسف§n-23957	نفر§n-13075	role		1+||| %%%%
17	بود	V	ROOT	0	null	null	junk		||| JUNK	
18	.	PUNC	PUNC	17	null	null	junk		||| NO	

1	يوسف	N	SBJ	8	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	
2	از	PREP	AJPP	7	null	null	junk		||| JUNK	
3	همه	ADJ	NPREMOD	4	null	null	junk		4||| NO	
4	برادران	N	AJPP	7	برادر§n-14090	نفر§n-13075	role		||| DYNAMIC_OBJECT	
5	جز	PREP	POSDEP	4	null	null	junk		||| NO	
6	بنيامين	N	POSDEP	5	null	نفر§n-13075	role		||| JUNK	
7	کوچکتر	ADJ	MOS	8	جوان§a-82	مشخصه§n-12756	role_state	Arg2		6||| JUNK	
8	بود	V	ROOT	0	null	null	junk		||| NO	
9	.	PUNC	PUNC	8	null	null	junk		||| ROLE_STATE	

1	او	PR	SBJ	6	يوسف§n-23957	نفر§n-13075	role	Arg0		1-||| ROLE_STATE	
2	حدود	PREP	ADVC	6	اندازه§n-13756	مشخصه§n-12756	no	Arg2		||| NO	
3	110	NUM	NPREMOD	4	null	null	junk		||| JUNK	
4	سال	N	POSDEP	2	سال§n-13471	دوره_زماني§n-12603	no		||| NO	
5	زندگي	N	NVE	6	زندگي§n-13552	رخداد§n-13136	no		1||| ROLE_ACTION	
6	کرد	V	ROOT	0	null	null	junk		||| JUNK	
7	.	PUNC	PUNC	6	null	null	junk		||| %%%%

1	يوسف	N	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0	Arg0		||| JUNK	JUNK	
2	9	NUM	NPREMOD	3	null	null	junk		||| LOCATION	
3	سال	N	ADVC	5	سال§n-13471	دوره_زماني§n-12603	no	Arg1		||| LOCATION	
4	بيشتر	ADV	ADVRB	5	null	null	junk	ArgM_EXT		||| JUNK	
5	نداشت	V	ROOT	0	null	null	junk		||| JUNK	
6	که	SUBR	NCL	1	null	null	junk		||| JUNK	
7	يک	NUM	NPREMOD	8	null	null	junk		||| LOCATION	
8	شب	N	ADVRB	11	شب§n-12642	دوره_زماني§n-12603	time	ArgM_TMP		tim||| LOCATION	
9	،	PUNC	PUNC	8	null	null	junk		||| NO	
10	رويايي	N	OBJ	11	رويا§n-15102	خصوصيت_رواني§n-12725	no	Arg1		||| JUNK	
11	ديد	V	PRD	6	ديدن§v-9138	رخداد§n-13136	role_action		1||| JUNK	
12	.	PUNC	PUNC	5	null	null	junk		||| %%%%
roles= [
	[1	او	PR	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0		1+||| ROLE	]
			[16	او	PR	MOZ	12	يوسف§n-23957	نفر§n-13075	role		1+||| %%%%]
			[1	او	PR	SBJ	6	يوسف§n-23957	نفر§n-13075	role	Arg0		1-||| ROLE_STATE	]
	[4	برادر	N	OBJ	5	برادر§n-14090	نفر§n-13075	role	Arg1		1||| NO	]
			[12	برادر	N	MOS	17	برادر§n-14090	نفر§n-13075	role	Arg2		||| ROLE	]
	[9	آن‌ها	PR	MOZ	8	برادر§n-14090	نفر§n-13075	role		11||| JUNK	]
	[11	بنيامين	N	SBJ	17	null	null	role	Arg1		||| NO	]
			[6	بنيامين	N	POSDEP	5	null	نفر§n-13075	role		||| JUNK	]
	[1	يوسف	N	SBJ	8	يوسف§n-23957	نفر§n-13075	role	Arg1		||| JUNK	]
			[1	يوسف	N	SBJ	5	يوسف§n-23957	نفر§n-13075	role	Arg0	Arg0		||| JUNK	JUNK	]
	[4	برادران	N	AJPP	7	برادر§n-14090	نفر§n-13075	role		||| DYNAMIC_OBJECT	]]
DynamicObjects= []
StaticObjects= []
location= []
alternativeLocations= []
time= []
alternativeTimes= [
	[8	شب	N	ADVRB	11	شب§n-12642	دوره_زماني§n-12603	time	ArgM_TMP		tim||| LOCATION	]]
scene_goals= []
scene_emotions= []
role_actions= [
	[11	ديد	V	PRD	6	ديدن§v-9138	رخداد§n-13136	role_action		1||| JUNK	]]
role_states= [
	[13	پدري	ADJ	NPOSTMOD	12	والد§n-13357	نفر§n-13075	role_state		12||| ROLE_INTENT	]
	[15	مادري	ADJ	AJCONJ	13	مامان§n-13374	نفر§n-13075	role_state		12||| JUNK	]
	[7	کوچکتر	ADJ	MOS	8	جوان§a-82	مشخصه§n-12756	role_state	Arg2		6||| JUNK	]]
role_intents= []
role_emotions= []
dynamic_object_actions= []
dynamic_object_states= []
static_object_states= []

newScene1*************************************

1	صبح	N	ADVRB	4	صبح§n-12638	دوره_زماني§n-12603	time	ArgM_TMP		tim||| LOCATION	
2	نزد	PREP	VPP	4	محضر§n-10120	جا§n-12733	location	Arg4		loc||| STATIC_OBJECT	
3	پدر	N	POSDEP	2	والد§n-13357	نفر§n-13075	role		||| JUNK	
4	آمده	V	PREDEP	5	آمدن§v-7847	رخداد§n-13136	role_action		19||| LOCATION	
5	و	CONJ	VCONJ	6	null	null	junk		||| LOCATION	
6	گفت	V	ROOT	0	گفتن§v-9244	رخداد§n-13136	role_action		19||| JUNK	
7	در	PREP	ADVRB	10	null	null	junk	ArgM_LOC		||| JUNK	
8	عالم	N	ADVRB	10	null	null	no	ArgM_LOC		||| LOCATION	
9	خواب	N	MOZ	8	رويا§n-15102	خصوصيت_رواني§n-12725	no		||| JUNK	
10	ديدم	V	VCL	6	رويت کردن§v-8581	رخداد§n-13136	role_action		19||| JUNK	
11	که	SUBR	VCL	10	null	null	junk	Arg1		||| LOCATION	
12	11	NUM	NPREMOD	13	null	null	junk		||| ROLE_STATE	
13	ستاره	N	SBJ	21	ستاره§n-14529	شيء§n-12703	static_object	Arg0		||| ROLE	
14	و	CONJ	NCONJ	13	null	null	junk		||| JUNK	
15	خورشيد	N	NCONJ	13	null	null	static_object		||| NO	
16	و	CONJ	NCONJ	15	null	null	junk		||| ROLE_ACTION	
17	ماه	N	NCONJ	15	null	null	static_object		||| JUNK	
18	دربرابر	PREP	NPP	20	null	null	no	Arg3		||| NO	
19	م	PR	POSDEP	18	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	
20	سجده	N	NVE	21	سجده§n-25850	رخداد§n-13136	static_object_state		13||| JUNK	
21	مي‌کنند	V	PRD	11	null	رخداد§n-13136	no		||| TIME	
22	.	PUNC	PUNC	6	null	null	junk		||| JUNK	

1	حضرت	N	SBJ	10	null	null	role	Arg0	Arg0		||| JUNK	STATIC_OBJECT_STATE	
2	يعقوب	N	MOZ	1	يعقوب§n-23940	نفر§n-13075	role		||| LOCATION	
3	که	SUBR	NCL	2	null	null	junk		||| JUNK	
4	تعبير	N	OBJ	7	تعبير§n-20347	خصوصيت_رواني§n-12725	no	Arg1		||| ROLE_STATE	
5	خواب	N	MOZ	4	رويا§n-15102	خصوصيت_رواني§n-12725	no		||| JUNK	
6	را	POSTP	OBJ	7	null	null	junk	Arg1		||| JUNK	
7	مي‌دانست	V	PRD	3	بلد بودن§v-8050	رخداد§n-13136	no		||| JUNK	
8	از	PREP	VPP	10	null	null	junk	Arg3		||| NO	
9	او	PR	POSDEP	8	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE	
10	خواست	V	ROOT	0	خواستن§v-19251	رخداد§n-13136	role_action		||| JUNK	
11	تا	SUBR	VCL	10	null	null	junk	Arg1		||| JUNK	
12	راز	N	OBJ	19	سر§n-13702	خصوصيت_رواني§n-12725	no	Arg1		||| TIME	
13	خود	PR	MOZ	12	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	
14	را	POSTP	OBJ	19	null	null	junk	Arg1		||| JUNK	
15	براي	PREP	ADVRB	19	null	null	junk	ArgM_GOL		||| %%%%
16	برادران	N	POSDEP	15	برادر§n-14090	نفر§n-13075	role		||| ROLE	
17	ش	PR	MOZ	16	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_STATE	
18	آشکار	ADJ	MOS	19	گويا§a-268	null	no	Arg2		||| ROLE	
19	نکند	V	VCL	10	افشاء کردن§v-7543	رخداد§n-13136	no		9||| JUNK	

1	سپس	SUBR	ROOT	0	null	null	junk	ArgM_ADV		||| JUNK	
2	براي	PREP	ADVRB	5	null	null	junk	ArgM_GOL		||| ROLE_ACTION	
3	ش	PR	POSDEP	2	يوسف§n-23957	نفر§n-13075	role		*1-||| JUNK	
4	روشن	ADJ	MOS	5	گويا§a-268	مشخصه§n-12756	role_state	Arg2		3||| %%%%
5	ساخت	V	PRD	1	کردن§v-8678	رخداد§n-13136	role_action		2-||| JUNK	
6	که	SUBR	VCL	5	null	null	junk	Arg1		||| ROLE	
7	در	PREP	ADVRB	11	null	null	junk	ArgM_TMP		||| JUNK	
8	آينده	N	ADVRB	11	فردا§n-12611	دوره_زماني§n-12603	time	ArgM_TMP		||| JUNK	
9	شخصيتي	N	MOS	11	شخصيت§n-11163	مشخصه§n-12756	role_state	Arg2		3||| JUNK	
10	برجسته	ADJ	NPOSTMOD	9	null	مشخصه§n-12756	role_state		3||| ROLE_STATE	
11	خواهدشد	V	PRD	6	کردن§v-8678	رخداد§n-13136	no		||| JUNK	
12	که	SUBR	NCL	9	null	null	junk		||| ROLE_INTENT	
13	همه	N	SBJ	18	null	null	role	Arg0		||| ROLE	
14	فرمان	N	OBJ	18	امر§n-11505	رخداد§n-13136	no	Arg3		||| ROLE_STATE	
15	ش	PR	MOZ	14	يوسف§n-23957	نفر§n-13075	role		*1-||| ROLE_INTENT	
16	را	POSTP	OBJ	18	null	null	junk	Arg3		||| ROLE_ACTION	
